Artikelnummer;Oud artikelnummer;Status;PIB naam NL;PIB naam FR;PIB ondertitel NL;PIB ondertitel FR;Samenstelling NL;Samenstelling FR;Benaming prijslijst NL;Benaming prijslijst FR;Productnorm;Type kort;Type lang NL;Type lang FR;Reactie bij brand;Reactie bij brand Norm;DOP Nummer;Kantvorm;Dikte;Breedte;Lengte;Dikte isolatie;Totale dikte;Oppervlaktegewicht;Thermische geleidbaarheid l;Thermische geleidb. isolatie l;Lineaire uitzettings-coëfficiënt tgv temp;Lin.uitz.temp. VW NL;Lin.uitz.temp. VW FR;Waterdampdiffusie-weerstandsgetal ?;Waterdampdiffusie-weerst. isolatie ?;Waterdampdiffusie-weerstand ?d;Lineaire uitzettings-coëfficiënt tgv RV;Lin.uitz.vocht VW NL;Lin.uitz.vocht VW FR;Basishoeveelheidseenheid;EAN;EAN Eenheid;Intrastatnummer;DOP URL NL;DOP URL FR;PIB URL NL;PIB URL FR;Image;
L10303A4121;(blanco);NIEUW;X Plus;X Plus;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Plus;X Plus;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252011302;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10303A4121&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10303A4121&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10303A4121&TYPE=IMG;
L1030300000;(blanco);NIEUW;X Plus;X Plus;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Plus;X Plus;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;3496252011388;TO;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L1030300000&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L1030300000&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L1030300000&TYPE=IMG;
L10300A4122;(blanco);NIEUW;X L;X L;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X L;X L;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252010237;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10300A4122&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10300A4122&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10300A4122&TYPE=IMG;
L1030000000;(blanco);NIEUW;X L;X L;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X L;X L;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;3496252011364;TO;25202010;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L1030000000&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L1030000000&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L1030000000&TYPE=IMG;
L10275A4121;(blanco);NIEUW;X Pro;X Pro;Eenlaagse spuit- en handpleister voor algemene pleisterwerken;Plâtre à projeter ou manuel - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Pro;X Pro;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496250207165;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10275A4121&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10275A4121&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10275A4121&TYPE=IMG;
L10275A0000;(blanco);NIEUW;X Pro;X Pro;Eenlaagse spuit- en handpleister voor algemene pleisterwerken;Plâtre à projeter ou manuel - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Pro;X Pro;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;3496250247314;TO;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10275A0000&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10275A0000&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10275A0000&TYPE=IMG;
G131328;G124627;NIEUW;Sprylith;Sprylith;Grondlaag voor tweelaagse bepleistering;Couche de base pour plafonnage à double couche;Gecalcineerd gips, verlicht met vermiculiet en aangevuld met additieven;Gypse calciné, allégé de vermiculite et enrichi d’additifs;Sprylith;Sprylith;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;5413218563178;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G131328&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G131328&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G131328&TYPE=IMG;
G124628;G124628;NIEUW;Sprylith;Sprylith;Grondlaag voor tweelaagse bepleistering;Couche de base pour plafonnage à double couche;Gecalcineerd gips, verlicht met vermiculiet en aangevuld met additieven;Gypse calciné, allégé de vermiculite et enrichi d’additifs;Sprylith;Sprylith;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;5413218565875;TO;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G124628&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G124628&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G124628&TYPE=IMG;
L10019A4121;(blanco);NIEUW;Platrex;Platrex;Afwerklaag voor tweelaagse bepleistering;Couche de finition pour plafonnage à double couche;Gecalcineerd gips aangevuld met additieven;Gypse calciné enrichi d'additifs;Platrex;Platrex;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252009989;ZAK;25202010;http://www.gyproc.be/downloaddop?DOP=PEM_601_NL.pdf;http://www.gyproc.be/downloaddop?DOP=PEM_601_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L10019A4121&TYPE=IMG;
L10301A4121;(blanco);NIEUW;Express;Express;Snelhardend handgips voor kleine werken en herstellingen;Plâtre manuel à prise rapide pour petits travaux de plafonnage et réparations;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;Express;Express;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252011289;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10301A4121&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10301A4121&TYPE=PDFFR;;
G130071;(blanco);NIEUW;Unique WR;Unique WR;Eenlaagse spuit-en handpleister voor toepassing in natte ruimtes;Plâtre à projeter et pour application manuelle monocouche pour utilisation dans des pièces humides;Gecalcineerde gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d’additifs;Unique WR;Unique WR;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);13,2;--;--;(blanco);(blanco);(blanco);ZAK;8711149000449;ST;68099000;;;http://www.gyproc.be/downloadpib?PIB=G130071&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G130071&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G130071&TYPE=IMG;
L10915A4221;(blanco);NIEUW;ACTIV air;ACTIV air;Luchtzuiverende pleister, elimineert aldehyde aanwezig in de lucht;Plâtre assainissant, élimine les aldéhydes de l’air ambiant;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;ACTIV air;ACTIV air;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496250193420;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10915A4221&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10915A4221&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10915A4221&TYPE=IMG;
L40541A4120;(blanco);NIEUW;SURFENDUIT Finition;SURFENDUIT Finition;Dunpleister;Enduit;Gecalcineerd gips aangevuld met additieven;Gypse calciné enrichi d'additifs;SURFENDUIT Finition;SURFENDUIT Finition;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252001662;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5ECE01E001_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5ECE01E001_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L40541A4120&TYPE=IMG;
L10035A4320;(blanco);NIEUW;Molda 3 Normal;Molda 3 Normal;Modelleerpleister;Plâtre à mouler;Calciumsulfaathemihydraat;Calcium sulfate hemihydrate;Molda 3 Normal;Molda 3 Normal;NF B 12 302:1982;(blanco);modelleerpleister;plâtre à mouler;A1;NF B 12 302:1982;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);ZAK;3496252010497;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=PEM_702_NL.pdf;http://www.gyproc.be/downloaddop?DOP=PEM_702_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L10035A4320&TYPE=IMG;
L10033A4120;(blanco);NIEUW;Molda 3 Fin;Molda 3 Fin;Modelleerpleister;Plâtre à mouler;Calciumsulfaathemihydraat;Calcium sulfate hemihydrate;Molda 3 Fin;Molda 3 Fin;NF B 12 302:1982;(blanco);modelleerpleister;plâtre à mouler;A1;NF B 12 302:1982;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);ZAK;3496252003703;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=PEM_702_NL.pdf;http://www.gyproc.be/downloaddop?DOP=PEM_702_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L10033A4120&TYPE=IMG;
L10038A4120;(blanco);NIEUW;Molda 3 Bis;Molda 3 Bis;Modelleerpleister;Plâtre à mouler;Calciumsulfaathemihydraat;Calcium sulfate hemihydrate;Molda 3 Bis;Molda 3 Bis;NF B 12 302:1982;(blanco);modelleerpleister;plâtre à mouler;A1;NF B 12 302:1982;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);ZAK;3496252008616;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=PEM_702_NL.pdf;http://www.gyproc.be/downloaddop?DOP=PEM_702_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L10038A4120&TYPE=IMG;
L10039A4120;(blanco);NIEUW;Molda Dur;Molda Dur;Modelleerpleister;Plâtre à mouler;Calciumsulfaathemihydraat;Calcium sulfate hemihydrate;Molda Dur;Molda Dur;NF B 12 302:1982;(blanco);modelleerpleister;plâtre à mouler;A1;NF B 12 302:1982;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);ZAK;3496252008715;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=PEM_702_NL.pdf;http://www.gyproc.be/downloaddop?DOP=PEM_702_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L10039A4120&TYPE=IMG;
G133930;(blanco);NIEUW;X Prim;X Prim;Verspuitbaar hechtingsbevorderend grondeermiddel voor pleisterwerken op sterk zuigende ondergronden;Produit d’imprégnation pulvérisable, améliorant l’accrochage, pour les supports d’absorption irrégulière;Alkalibestendige zo goed als onverzeepbare kunstharsdispersie op waterbasis;Imprégnation sur base de dispersion de résine synthétique aux alcalins, dispersion de styrène-acrylate étanche;X Prim;X Prim;--;(blanco);(blanco);(blanco);(blanco);(blanco);;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);BCT;5413218569989;ST;39051100;;;http://www.gyproc.be/downloadpib?PIB=G131094&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G131094&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G131094&TYPE=IMG;
G133928;(blanco);NIEUW;Betongrip Easy;Betongrip Easy;Performante hechtbrug voor pleisterwerken op betonnen ondergronden;Pour une adhésion performante entre plâtre et béton;Alkalibestendige, nagenoeg onverzeepbare kunstharsdispersie op waterbasis met zeer fijne deeltjesgrootte, lichtgroen van kleur;Résine artificielle, résistante aux alcalis, insaponifiable et légèrement verte, à base d’eau et avec une très fine dimension des particules;Betongrip Easy;Betongrip Easy;--;(blanco);(blanco);(blanco);(blanco);(blanco);;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);BCT;5413218550000;L;32091000;;;http://www.gyproc.be/downloadpib?PIB=G125762&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G125762&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G125762&TYPE=IMG;
G133929;(blanco);NIEUW;Betongrip Easy;Betongrip Easy;Performante hechtbrug voor pleisterwerken op betonnen ondergronden;Pour une adhésion performante entre plâtre et béton;Alkalibestendige, nagenoeg onverzeepbare kunstharsdispersie op waterbasis met zeer fijne deeltjesgrootte, lichtgroen van kleur;Résine artificielle, résistante aux alcalis, insaponifiable et légèrement verte, à base d’eau et avec une très fine dimension des particules;Betongrip Easy;Betongrip Easy;--;(blanco);(blanco);(blanco);(blanco);(blanco);;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);BCT;5413218550000;L;32091000;;;http://www.gyproc.be/downloadpib?PIB=G125763&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G125763&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G125763&TYPE=IMG;
G131008;(blanco);NIEUW;Plâtinum 210;Plâtinum 210;Dagkant voor aansluiting aan pleister en aan gipsplaten;La joue de fenêtre, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum 210;Plâtinum 210;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);9;210;2200;(blanco);(blanco);3,08;0,054;(blanco);60 x 10-6;--;--;5,56;(blanco);(blanco);(blanco);(blanco);(blanco);ST;5413218569279;ST;76109090;;;http://www.gyproc.be/downloadpib?PIB=G131008&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G131008&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G131008&TYPE=IMG;
G131009;(blanco);NIEUW;Plâtinum 210;Plâtinum 210;Dagkant voor aansluiting aan pleister en aan gipsplaten;La joue de fenêtre, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum 210;Plâtinum 210;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);9;210;2600;(blanco);(blanco);3,08;0,054;(blanco);60 x 10-6;--;--;5,56;(blanco);(blanco);(blanco);(blanco);(blanco);ST;5413218569286;ST;76109090;;;http://www.gyproc.be/downloadpib?PIB=G131009&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G131009&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G131009&TYPE=IMG;
G131010;(blanco);NIEUW;Plâtinum 210;Plâtinum 210;Dagkant voor aansluiting aan pleister en aan gipsplaten;La joue de fenêtre, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum 210;Plâtinum 210;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);9;210;3000;(blanco);(blanco);3,08;0,054;(blanco);60 x 10-6;--;--;5,56;(blanco);(blanco);(blanco);(blanco);(blanco);ST;5413218569293;ST;68091100;;;http://www.gyproc.be/downloadpib?PIB=G131010&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G131010&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G131010&TYPE=IMG;
G132078;(blanco);NIEUW;Plâtinum PUR;Plâtinum PUR;Geïsoleerde dagkant voor aansluiting aan pleister en aan gipsplaten;La joue de fenêtre isolée, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum PUR;Plâtinum PUR;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);25;210;2600;(blanco);(blanco);2.7 +/- 0.12;0,054;0,028;60 x 10-6;--;--;5,56;85;(blanco);(blanco);(blanco);(blanco);ST;5413218575799;ST;;;;http://www.gyproc.be/downloadpib?PIB=G132078&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G132078&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G132078&TYPE=IMG;
G129752;(blanco);NIEUW;Plâtinum 270;Plâtinum 270;Dagkant voor aansluiting aan pleister;La joue de fenêtre, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum 270;Plâtinum 270;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);9;270;2200;(blanco);(blanco);3,08;0,054;(blanco);60 x 10-6;--;--;5,56;(blanco);(blanco);(blanco);(blanco);(blanco);ST;5413218563932;ST;76109090;;;http://www.gyproc.be/downloadpib?PIB=G129752&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G129752&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G129752&TYPE=IMG;
G129753;(blanco);NIEUW;Plâtinum 270;Plâtinum 270;Dagkant voor aansluiting aan pleister;La joue de fenêtre, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum 270;Plâtinum 270;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);9;270;2600;(blanco);(blanco);3,08;0,054;(blanco);60 x 10-6;--;--;5,56;(blanco);(blanco);(blanco);(blanco);(blanco);ST;5413218563949;ST;76109090;;;http://www.gyproc.be/downloadpib?PIB=G129753&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G129753&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G129753&TYPE=IMG;
G129754;(blanco);NIEUW;Plâtinum 270;Plâtinum 270;Dagkant voor aansluiting aan pleister;La joue de fenêtre, pour la finition au plâtre et la finition à l'aide de plaques Gyproc;(blanco);(blanco);Plâtinum 270;Plâtinum 270;--;(blanco);(blanco);(blanco);F;NBN EN 13501-1:2010;;(blanco);9;270;3000;(blanco);(blanco);3,08;0,054;(blanco);60 x 10-6;--;--;5,56;(blanco);(blanco);(blanco);(blanco);(blanco);ST;5413218563956;ST;68091100;;;http://www.gyproc.be/downloadpib?PIB=G129754&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G129754&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G129754&TYPE=IMG;
G118856;(blanco);NIEUW;Gyproc® A;Gyproc® A;Gyproc®-bouwplaten;Plaques de construction Gyproc®;(blanco);(blanco);Gyproc A;Gyproc A;NBN EN 520:2009;A;gipskartonplaat;plaque de plâtre;A2-s1, d0 (B);NBN EN 520:2009;SG_GY_2013_A1ABA01A001;ABA;6,5;900;3000;(blanco);(blanco);5,40;0,25;(blanco);5 x 10-6;bij 65 % R.V.;à H.R. de 65 % ;10;--;0,065;7 x 10-6;bij 20°C;à 20 °C;PLA;5413218002196;PLA;68091100;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1ABA01A001_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1ABA01A001_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G118856&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G118856&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G118856&TYPE=IMG;
G100628;(blanco);NIEUW;Gyproc® A;Gyproc® A;Gyproc®-bouwplaten;Plaques de construction Gyproc®;(blanco);(blanco);Gyproc A;Gyproc A;NBN EN 520:2009;A;gipskartonplaat;plaque de plâtre;A2-s1, d0 (B);NBN EN 520:2009;SG GY 2013 A1AAA01A001;ABA;9,5;600;2600;(blanco);(blanco);6,80;0,25;(blanco);5 x 10-6;bij 65 % R.V.;à H.R. de 65 % ;10;--;0,095;7 x 10-6;bij 20°C;à 20 °C;PLA;5413218400008;PLA;68091100;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1AAA01A001_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1AAA01A001_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G100628&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G100628&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G100628&TYPE=IMG;
G100760;(blanco);NIEUW;Gyproc® A;Gyproc® A;Gyproc®-bouwplaten;Plaques de construction Gyproc®;(blanco);(blanco);Gyproc A;Gyproc A;NBN EN 520:2009;A;gipskartonplaat;plaque de plâtre;A2-s1, d0 (B);NBN EN 520:2009;SG GY 2013 A1AAA01A001;ABA;9,5;1200;2400;(blanco);(blanco);6,80;0,25;(blanco);5 x 10-6;bij 65 % R.V.;à H.R. de 65 % ;10;--;0,095;7 x 10-6;bij 20°C;à 20 °C;PLA;5413218001830;PLA;68091100;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1AAA01A001_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1AAA01A001_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G100760&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G100760&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G100760&TYPE=IMG;
G121619;(blanco);NIEUW;Gyproc® A;Gyproc® A;Gyproc®-bouwplaten;Plaques de construction Gyproc®;(blanco);(blanco);Gyproc A;Gyproc A;NBN EN 520:2009;A;gipskartonplaat;plaque de plâtre;A2-s1, d0 (B);NBN EN 520:2009;SG GY 2013 A1AAA01A001;ABA;9,5;1200;2600;(blanco);(blanco);6,80;0,25;(blanco);5 x 10-6;bij 65 % R.V.;à H.R. de 65 % ;10;--;0,095;7 x 10-6;bij 20°C;à 20 °C;PLA;4002806095712;PLA;68091100;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1AAA01A001_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_A1AAA01A001_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G121619&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G121619&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G121619&TYPE=IMG;
