code;label-fr_BE;label-en_US;label-nl_BE;allowed_extensions;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
usp_1_variant;USP 1;;USP 1 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_simpleselect;0;0;;;0
usp_2_variant;USP 2;;USP 2 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;1;pim_catalog_simpleselect;0;0;;;0
usp_3_variant;USP 3;;USP 3 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;2;pim_catalog_simpleselect;0;0;;;0
usp_4_variant;USP 4;;USP 4 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;3;pim_catalog_simpleselect;0;0;;;0
usp_else_variant;USPs supplémentaires global;;Overige USPs overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;4;pim_catalog_multiselect;0;0;;;0
usp_outdoor_1_variant;USP 1 Outdoor global;;USP 1 Outdoor overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;5;pim_catalog_simpleselect;0;0;;;0
usp_outdoor_2_variant;USP 2 Outdoor global;;USP 2 Outdoor overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;6;pim_catalog_simpleselect;0;0;;;0
usp_outdoor_3_variant;USP 3 Outdoor global;;USP 3 Outdoor overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;7;pim_catalog_simpleselect;0;0;;;0
usp_outdoor_4_variant;USP 4 Outdoor global;;USP 4 Outdoor overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;8;pim_catalog_simpleselect;0;0;;;0
usp_outdoor_else_variant;USPs supplémentaires Outdoor global;;Overige USPs   Outdoor  overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;9;pim_catalog_multiselect;0;0;;;0
usp_diy_1_variant;USP DIY 1 global;;USP DIY 1 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;10;pim_catalog_simpleselect;0;0;;;0
usp_diy_2_variant;USP DIY 2 global;;USP DIY 2 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;11;pim_catalog_simpleselect;0;0;;;0
usp_diy_3_variant;USP DIY 3 global;;USP DIY 3 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;12;pim_catalog_simpleselect;0;0;;;0
usp_diy_4_variant;USP DIY 4 global;;USP DIY 4 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;13;pim_catalog_simpleselect;0;0;;;0
usp_diy_else_variant;USPs supplémentaires DIY global;;Overige USPs DIY overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;14;pim_catalog_multiselect;0;0;;;0
usp_alu_1_variant;USP Alu 1 global;;USP Alu 1 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;16;pim_catalog_simpleselect;0;0;;;0
usp_alu_2_variant;USP Alu 2 global;;USP Alu 2 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;17;pim_catalog_simpleselect;0;0;;;0
usp_alu_3_variant;USP Alu 3 global;;USP Alu 3 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;18;pim_catalog_simpleselect;0;0;;;0
usp_alu_4_variant;USP Alu 4 global;;USP Alu 4 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;19;pim_catalog_simpleselect;0;0;;;0
usp_alu_else_variant;USPs supplémentaires Alu global;;Overige USPs Alu overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;20;pim_catalog_multiselect;0;0;;;0
vent_usp_1_variant;USP Aérateurs 1 global;;USP Vent 1 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;21;pim_catalog_simpleselect;0;0;;;0
vent_usp_2_variant;USP Aérateurs 2 global;;USP Vent 2 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;22;pim_catalog_simpleselect;0;0;;;0
vent_usp_3_variant;USP Aérateurs 3 global;;USP Vent 3 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;23;pim_catalog_simpleselect;0;0;;;0
vent_usp_4_variant;USP Aérateurs 4 global;;USP Vent 4 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;24;pim_catalog_simpleselect;0;0;;;0
vent_usp_else_variant;USPs supplémentaires Aérateurs global;;Overige USPs Vent ilatie  overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;25;pim_catalog_multiselect;0;0;;;0
mechvent_usp_1_variant;USP Ventilation mécanique 1 global;;USP Mech vent 1 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;26;pim_catalog_simpleselect;0;0;;;0
